Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;2. 1. Nord;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;23
1. Østerbro;2. 1. Nord;H;Borgernes Parti - Lars Boje Mathiesen;Rikke Hansen;0
1. Østerbro;2. 1. Nord;H;Borgernes Parti - Lars Boje Mathiesen;Flemming Steenlykke;1
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Partiliste;399
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Ole Birk Olesen;39
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Mads Strange;77
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Alexander Ryle;24
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Merete Riisager;25
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Per Nørgaard Andersen;1
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Charlotte Nellemann;0
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Line Østergaard Olsen;3
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Laura Emilie Fabricius-Lauritzen;3
1. Østerbro;2. 1. Nord;I;Liberal Alliance;Torben Guldbæk;0
1. Østerbro;2. 1. Nord;M;Moderaterne;Partiliste;381
1. Østerbro;2. 1. Nord;M;Moderaterne;Jakob Engel-Schmidt;128
1. Østerbro;2. 1. Nord;M;Moderaterne;Nanna W. Gotfredsen;8
1. Østerbro;2. 1. Nord;M;Moderaterne;Ellen Emilie;19
1. Østerbro;2. 1. Nord;M;Moderaterne;Mads Sebbelov;16
1. Østerbro;2. 1. Nord;M;Moderaterne;Ali Qais;7
1. Østerbro;2. 1. Nord;M;Moderaterne;Lisbeth Dam Larsen;4
1. Østerbro;2. 1. Nord;O;Dansk Folkeparti;Partiliste;233
1. Østerbro;2. 1. Nord;O;Dansk Folkeparti;Merete Dea Larsen;14
1. Østerbro;2. 1. Nord;O;Dansk Folkeparti;Allan Feldt;14
1. Østerbro;2. 1. Nord;O;Dansk Folkeparti;Paw Karslund;0
1. Østerbro;2. 1. Nord;O;Dansk Folkeparti;Denise Rostgaard;8
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Partiliste;154
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Linea Søgaard-Lidell;40
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Zeynep Bardakci;0
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Claus Buch;8
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Anders Fausbøll;4
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Jan E. Jørgensen;61
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Natascha Remvig;3
1. Østerbro;2. 1. Nord;V;Venstre, Danmarks Liberale Parti;Malene Sandfeld;1
1. Østerbro;2. 1. Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;23
1. Østerbro;2. 1. Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Martin Sibast;2
1. Østerbro;2. 1. Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Benny Bindslev;1
1. Østerbro;2. 1. Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Eva Bechmann;0
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Partiliste;205
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;David Rønne;3
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Pelle Dragsted;244
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Rosa Lund;76
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Leila Stockmarr;9
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Pil Christensen;30
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Mathilde Vinther;9
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Charlotte Lund;3
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Pil Yildiz;6
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Kim Larsen;1
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Mette Bloch Hansen;1
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Maria Sofie Petersen;2
1. Østerbro;2. 1. Nord;Ø;Enhedslisten - De Rød-Grønne;Reinout Bosch;2
1. Østerbro;2. 1. Nord;Å;Alternativet;Partiliste;94
1. Østerbro;2. 1. Nord;Å;Alternativet;Franciska Rosenkilde;127
1. Østerbro;2. 1. Nord;Å;Alternativet;Qasam Nazir Ahmad;5
1. Østerbro;2. 1. Nord;Å;Alternativet;Catharina Næsby Malkki;4
1. Østerbro;2. 1. Nord;Å;Alternativet;Jiesper Tristan Pedersen;3
1. Østerbro;2. 1. Nord;Å;Alternativet;Jan Kristoffersen;3
1. Østerbro;2. 1. Nord;Å;Alternativet;Roger Courage Matthisen;4
1. Østerbro;2. 1. Nord;Å;Alternativet;Vibeke Frost;1
1. Østerbro;2. 1. Nord;Å;Alternativet;Anders Sørensen;4
1. Østerbro;2. 1. Nord;Å;Alternativet;Mette Bram;2
1. Østerbro;2. 1. Nord;Å;Alternativet;Peter Martin Jakobsen;0
1. Østerbro;2. 1. Nord;Å;Alternativet;Nikolai Eskild Jensen;2
1. Østerbro;2. 1. Nord;Å;Alternativet;Mikkel Bahl;0
1. Østerbro;2. 1. Nord;Å;Alternativet;Noah Sturis;2
1. Østerbro;2. 1. Nord;Å;Alternativet;Jakob Ravn Karlsen;0
1. Østerbro;2. 1. Nord;Å;Alternativet;Jan Schumann;1
1. Østerbro;2. 1. Nord;Å;Alternativet;Lise Coermann;21
1. Østerbro;2. 1. Nord;(Uden for parti);(Uden for parti);Rashid Ali;3
1. Østerbro;2. 1. Nord;(Uden for parti);(Uden for parti);Rasmus Paludan;0
